author,added,deleted,commits
Pradeep Bhadani,12,0,1
Pryz,25,0,1
Przemys?aw D?bek,6,0,1
Puneeth Nanjundaswamy,1,2,1
Quentin Machu,339,0,2
RaGe,1,1,1
Radek Simko,37258,18571,773
Rafal Jeczalik,52,6,3
Rahul Menon,269,163,9
Raphael Randschau,4912,413,51
Raphaâl Pinson,1191,62,31
Raymond Fallon,377,86,5
Ra£l Naveiras,1,1,1
Reinhard NÑgele,26,0,2
Renier Morales,129,52,2
Reuven V. Gonzales,1,0,1
Rev. C. Bennett Hoffman,46,3,1
Rhyas,41,13,1
Rhys Laval,132,1,2
Ricard Clau,8,2,1
Richard Bowden,19,1,1
Richard Clamp,810,4,5
Richard Henning,52,4,2
Riley Karson,498,21,11
Rob Campbell,117,72,3
Rob Costanzo,325,38,6
Rob Coward,10,10,2
Rob Phoenix,3,3,1
Rob Zienert,228,34,5
Robert Conrad,12,0,1
Robert Deusser,16,13,1
Robert J,12,7,1
Robert Liebowitz,244,111,3
Robert Rudduck,280,66,7
Robert Tillery,65,3,1
Roberto Jung Drebes,3665,216,13
Robin Walsh,23,8,1
Rolo,1,1,1
Roman Laguta,15,3,2
Ross Delinger,42,0,1
Ross McFarland,277,148,6
Rui Gonc?alves,11,0,1
Rui Gonáalves,18,3,3
Rui Lopes,6,0,1
Rui Zhang,8,0,1
Ruslan,1,1,1
Ryan,1,1,1
Ryan Eschinger,1,1,1
Ryan Hoegg,65,0,1
Ryan King,1,2,1
Ryan Lewon,1,1,1
Ryan Moran,371,5,1
Ryan Roberts,254,0,2
Ryan Schlesinger,10,0,1
Ryan Uber,305,14,5
Ryo Takaishi,62,2,1
Ryosuke Sato,9,177,2
S. Brent Faulkner,54,9,3
Sam Bashton,68,5,2
Sam Boyer,15,75,1
Sam Clinckspoor,268,22,4
Sam Crang,16,7,1
Sam Dunne,109,13,5
Samuel BERTHE,47,0,1
Sandeep Sidhu,20,0,1
Sander van Harmelen,37252,17575,447
Sander van Zoest,0,1,1
Sarah Zelechoski,9,2,2
Sargun Dhillon,20,0,1
Sargurunathan Mohan,29,15,5
Sathiya Shunmugasundaram,678,68,19
Saverio Miroddi,1,1,1
Scott Hain,11,4,1
Scott Nowicki,1742,1170,69
ScottWinkler,119,27,4
Sean Chittenden,18537,4196,102
Sean Herron,8,0,1
Sebastiaan van Steenis,13,3,2
Sebastian Maj,18,11,1
Sergey,6,14,1
Sergey Kondrashov,7,7,1
Sergiusz Baza?ski,1,2,1
Sergiusz Urbaniak,227,43,1
Sertaá ôzercan,85,13,1
Seth Vargo,2690,1650,31
Sevag Hanssian,494,12,2
Shane O'Grady,1,0,1
Sharif Nassar,11,5,3
Shawn Silva,33,13,2
Shay Elmualem,1,1,1
Sherod Taylor,72,26,1
Shinichi TAMURA,6,0,1
Silas Sewell,424,230,1
Simon Brady,1,1,1
Simon Menke,1,1,1
Simon Thulbourn,8,25,4
Simon Turvey,109,129,1
Simon Westcott,1,1,1
Simone Carletti,98,56,1
Skyler Layne,1,1,1
Sneha Somwanshi,562,130,11
Sonia Hamilton,338,0,1
Soren Mathiasen,147,1,2
Spencer Krum,2,2,1
Spencer Nelson,32,16,1
Srikalyan Swayampakula,141,49,6
Stas Alekseev,8,8,1
Stefan Schmidt,5,15,3
Stefan Staudenmeyer,1,1,1
Stephan Epping,26,0,1
Stephen Buergler,3,3,1
Stephen Chu,19,14,4
Stephen Cross,3354,0,2
Stephen Muth,66,19,1
Stephen Weatherford,91,45,6
Steve Hoeksema,54,17,4
Steven Crossan,9,10,1
Steven Eschinger,4,4,1
Stuart Auld,174,48,3
Subba Rao Pasupuleti,70,5,1
Suguru Namura,19,1,2
Sunil K Chopra,20,6,4
Sunny,33,5,4
Sven Walter,3,0,1
Svend Sorensen,5,6,3
Syohei YOSHIDA,2,2,1
TANABE Ken-ichi,296,5,3
Takaaki Furukawa,1354,118,8
Tamas Szasz,12,0,2
Tarrant,51,6,2
Taylor Chaparro,14,0,1
TeamCity,4,2,4
Techbrunch,2,2,2
Techcadia,9,2,1
Tero KeinÑnen,2,0,2
Thayne McCombs,114,41,3
The Terraform Team,1,0,1
Thibault Vigouroux,3,1,1
Thomas Poindessous,272,56,12
Thomas Schaaf,143,37,1
Thorsten Schifferdecker,1,1,1
Tim,1,1,1
Tim Gossett,116,29,4
Tim Sharpe,556,0,1
Tim Tharratt,404,0,1
Timon Wong,22,3,1
Tom Elliff,26,6,2
Tom Fitzherbert,1,0,1
Tom Harvey,4569,473,49
Tom Hummel,0,2,1
Tom Straub,15,3,1
Tom Wilkie,177,59,5
Tomas Doran,17,3,2
Tommy Murphy,202,0,2
Tomotaka Sakuma,536,0,2
Traver Tischio,1068,106,9
Travis Truman,1,1,1
Trent Johnson,238,9,1
Trevor Pounds,232,266,27
Ubuntu,26,0,2
Uriel Corfa,7,2,1
VERDOÿA Laurent,25,0,2
ValFadeev,68,0,2
