entity,n-authors,n-revs
backend/operationtype_string.go,8,11
.github/CONTRIBUTING.md,8,11
builtin/providers/consul/config.go,8,11
builtin/providers/vsphere/provider.go,8,10
builtin/providers/azurerm/resource_arm_route.go,8,10
builtin/providers/google/resource_compute_instance_group.go,8,10
builtin/providers/aws/resource_aws_api_gateway_api_key.go,8,10
builtin/providers/aws/opsworks_layers.go,8,10
builtin/providers/aws/import_aws_security_group.go,8,10
helper/acctest/random.go,8,10
builtin/providers/google/resource_dns_managed_zone.go,8,9
builtin/providers/google/resource_pubsub_subscription.go,8,9
builtin/providers/aws/hosted_zones.go,8,9
command/workspace_command.go,8,9
terraform/eval_context_builtin.go,7,79
builtin/providers/aws/resources.go,7,56
terraform/node_resource_abstract.go,7,56
backend/local/backend_apply.go,7,55
command/format/diff.go,7,52
config/raw_config.go,7,41
terraform/resource_address.go,7,40
terraform/transform_orphan.go,7,38
terraform/node_resource_refresh.go,7,37
command/untaint.go,7,35
command/state_show.go,7,26
command/state_rm.go,7,24
terraform/transform_config.go,7,23
command/console.go,7,23
command/providers.go,7,22
command/state_list.go,7,22
terraform/evaltree_provider.go,7,22
backend/remote/testing.go,7,20
builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,7,20
builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,7,18
builtin/providers/aws/resource_aws_elasticache_replication_group.go,7,18
builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,7,18
builtin/providers/azure/config.go,7,17
builtin/providers/aws/resource_aws_route_table_association.go,7,17
state/remote/http.go,7,17
builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,7,17
communicator/winrm/communicator.go,7,16
builtin/provisioners/local-exec/resource_provisioner.go,7,15
state/remote/atlas.go,7,15
helper/ssh/provisioner.go,7,15
builtin/providers/aws/resource_aws_alb_target_group.go,7,14
flatmap/expand.go,7,14
tools/terraform-bundle/package.go,7,14
builtin/providers/openstack/resource_openstack_fw_rule_v1.go,7,13
builtin/providers/aws/resource_aws_cloudtrail.go,7,13
builtin/providers/atlas/resource_artifact.go,7,12
builtin/providers/heroku/resource_heroku_domain.go,7,12
builtin/providers/docker/provider.go,7,12
builtin/providers/aws/resource_aws_kms_alias.go,7,11
command/get.go,7,11
builtin/providers/azurerm/resource_arm_network_security_rule.go,7,11
helper/ssh/communicator.go,7,11
builtin/providers/google/resource_compute_subnetwork.go,7,11
builtin/providers/google/resource_compute_vpn_gateway.go,7,11
builtin/providers/aws/resource_aws_cloudwatch_metric_alarm.go,7,11
builtin/providers/aws/resource_aws_codecommit_repository.go,7,11
builtin/providers/aws/resource_aws_lb_cookie_stickiness_policy.go,7,11
builtin/providers/google/resource_storage_bucket_object.go,7,11
builtin/providers/aws/resource_aws_network_acl_rule.go,7,11
builtin/providers/aws/resource_aws_api_gateway_domain_name.go,7,10
builtin/providers/aws/resource_aws_api_gateway_integration_response.go,7,10
command/version.go,7,10
builtin/providers/aws/resource_aws_autoscaling_policy.go,7,10
builtin/providers/aws/resource_aws_cloudwatch_event_rule.go,7,10
builtin/providers/aws/resource_aws_autoscaling_schedule.go,7,10
builtin/providers/azurerm/resource_arm_storage_blob.go,7,9
builtin/providers/aws/resource_aws_autoscaling_lifecycle_hook.go,7,9
builtin/providers/aws/resource_aws_elasticache_parameter_group.go,7,9
examples/aws-two-tier/README.md,7,9
builtin/providers/azurerm/resource_arm_servicebus_namespace.go,7,9
scripts/generate-plugins.go,7,9
builtin/providers/azure/resource_azure_storage_blob.go,7,9
builtin/providers/aws/resource_aws_db_event_subscription.go,7,8
builtin/providers/rundeck/resource_job.go,7,8
helper/schema/testing.go,7,8
CONTRIBUTING.md,7,8
builtin/providers/google/resource_dns_record_set.go,7,8
builtin/providers/google/service_scope.go,7,7
contrib/zsh-completion/_terraform,7,7
builtin/providers/aws/resource_aws_opsworks_application.go,7,7
terraform/graph_builder_apply.go,6,84
config/module/tree.go,6,64
terraform/graph_builder_plan.go,6,63
terraform/graph_walk_context.go,6,56
backend/local/backend_plan.go,6,52
terraform/node_resource_plan.go,6,46
command/meta_backend_migrate.go,6,45
terraform/eval_provider.go,6,45
terraform/node_resource_plan_instance.go,6,44
terraform/resource_provider_mock.go,6,42
backend/remote/backend_mock.go,6,41
terraform/eval_context.go,6,40
command/taint.go,6,38
terraform/eval_refresh.go,6,38
plugin/grpc_provider.go,6,37
terraform/graph_builder_refresh.go,6,36
terraform/eval_context_mock.go,6,33
backend/local/testing.go,6,31
terraform/graph_builder_import.go,6,30
terraform/transform_deposed.go,6,28
terraform/node_resource_validate.go,6,28
builtin/providers/cloudstack/resource_cloudstack_network.go,6,25
terraform/eval_variable.go,6,24
backend/testing.go,6,24
terraform/transform_targets.go,6,22
command/format/state.go,6,21
command/state_push.go,6,21
command/unlock.go,6,21
svchost/disco/disco.go,6,20
command/workspace_new.go,6,20
backend/remote-state/s3/backend_state.go,6,20
terraform/transform_provisioner.go,6,20
builtin/providers/azure/provider.go,6,19
terraform/graph_dot.go,6,18
communicator/ssh/provisioner.go,6,18
builtin/providers/vcd/resource_vcd_vapp.go,6,17
command/state_pull.go,6,17
