entity,n-authors,n-revs
command/apply_destroy_test.go,7,38
terraform/transform_orphan.go,7,38
command/console.go,7,34
command/providers.go,7,33
terraform/evaltree_provider.go,7,32
command/state_show.go,7,31
command/state_rm.go,7,30
command/format/diff_test.go,7,30
terraform/graph_builder_test.go,7,28
command/state_list.go,7,27
backend/remote/testing.go,7,20
builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,7,20
state/remote/http.go,7,19
builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,7,18
builtin/providers/aws/resource_aws_elasticache_replication_group.go,7,18
builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,7,18
builtin/providers/azure/config.go,7,17
builtin/providers/aws/resource_aws_route_table_association.go,7,17
builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,7,17
communicator/winrm/communicator.go,7,16
tools/terraform-bundle/package.go,7,16
builtin/provisioners/chef/windows_provisioner_test.go,7,16
builtin/provisioners/local-exec/resource_provisioner.go,7,15
builtin/providers/aws/cloudfront_distribution_configuration_structure_test.go,7,15
command/state_show_test.go,7,15
state/remote/atlas.go,7,15
helper/ssh/provisioner.go,7,15
builtin/providers/aws/resource_aws_alb_target_group.go,7,14
flatmap/expand.go,7,14
builtin/provisioners/file/resource_provisioner_test.go,7,13
builtin/providers/openstack/resource_openstack_fw_rule_v1.go,7,13
helper/schema/testing.go,7,13
builtin/providers/aws/resource_aws_network_acl_rule_test.go,7,13
builtin/providers/heroku/resource_heroku_addon_test.go,7,13
helper/schema/field_reader_test.go,7,13
builtin/providers/aws/resource_aws_cloudtrail.go,7,13
builtin/providers/atlas/resource_artifact.go,7,12
builtin/providers/aws/resource_aws_lambda_permission_test.go,7,12
helper/resource/wait_test.go,7,12
builtin/providers/heroku/resource_heroku_domain.go,7,12
helper/schema/field_writer_map_test.go,7,12
builtin/providers/docker/provider.go,7,12
builtin/providers/aws/resource_aws_alb_target_group_test.go,7,11
builtin/providers/aws/resource_aws_kms_alias.go,7,11
builtin/providers/aws/resource_aws_spot_instance_request_test.go,7,11
command/get.go,7,11
builtin/providers/azurerm/resource_arm_network_security_rule.go,7,11
builtin/providers/azurerm/resource_arm_cdn_profile_test.go,7,11
builtin/providers/azurerm/resource_arm_availability_set_test.go,7,11
builtin/providers/aws/resource_aws_route_test.go,7,11
helper/ssh/communicator.go,7,11
builtin/providers/google/resource_compute_subnetwork.go,7,11
builtin/providers/google/resource_compute_vpn_gateway.go,7,11
builtin/providers/aws/resource_aws_cloudwatch_metric_alarm.go,7,11
builtin/providers/aws/resource_aws_codecommit_repository.go,7,11
builtin/providers/aws/resource_aws_lb_cookie_stickiness_policy.go,7,11
builtin/providers/google/resource_storage_bucket_object.go,7,11
builtin/providers/aws/resource_aws_network_acl_rule.go,7,11
builtin/providers/aws/resource_aws_api_gateway_domain_name.go,7,10
builtin/providers/dnsimple/resource_dnsimple_record_test.go,7,10
builtin/providers/aws/resource_aws_sns_topic_subscription_test.go,7,10
builtin/providers/aws/resource_aws_api_gateway_integration_response.go,7,10
command/version.go,7,10
builtin/providers/aws/resource_aws_codecommit_repository_test.go,7,10
builtin/providers/aws/resource_aws_elasticache_subnet_group_test.go,7,10
builtin/providers/aws/resource_aws_autoscaling_policy.go,7,10
builtin/providers/aws/resource_aws_cloudwatch_event_rule.go,7,10
builtin/providers/azurerm/resource_arm_resource_group_test.go,7,10
builtin/providers/heroku/resource_heroku_cert_test.go,7,10
builtin/providers/aws/resource_aws_autoscaling_schedule.go,7,10
builtin/providers/aws/resource_aws_efs_mount_target_test.go,7,10
builtin/providers/azurerm/resource_arm_storage_blob.go,7,9
builtin/providers/aws/resource_aws_emr_cluster_test.go,7,9
builtin/providers/aws/resource_aws_autoscaling_lifecycle_hook.go,7,9
builtin/providers/aws/resource_aws_elasticache_parameter_group.go,7,9
builtin/providers/azurerm/resource_arm_storage_blob_test.go,7,9
builtin/providers/aws/resource_vpn_connection_route_test.go,7,9
builtin/providers/cloudflare/resource_cloudflare_record_test.go,7,9
builtin/providers/aws/resource_aws_autoscaling_policy_test.go,7,9
builtin/providers/aws/resource_aws_opsworks_application_test.go,7,9
builtin/providers/aws/provider_test.go,7,9
examples/aws-two-tier/README.md,7,9
builtin/providers/azurerm/resource_arm_servicebus_namespace.go,7,9
builtin/providers/azurerm/resource_arm_storage_container_test.go,7,9
scripts/generate-plugins.go,7,9
builtin/providers/azure/resource_azure_storage_blob.go,7,9
builtin/providers/aws/resource_aws_db_event_subscription.go,7,8
builtin/providers/rundeck/resource_job.go,7,8
builtin/providers/aws/resource_aws_cloudwatch_log_group_test.go,7,8
builtin/providers/aws/resource_aws_iam_user_policy_test.go,7,8
CONTRIBUTING.md,7,8
builtin/providers/google/resource_pubsub_subscription_test.go,7,8
builtin/providers/google/resource_dns_record_set.go,7,8
builtin/providers/aws/resource_aws_api_gateway_integration_test.go,7,8
builtin/providers/datadog/resource_datadog_timeboard_test.go,7,8
builtin/providers/google/service_scope.go,7,7
contrib/zsh-completion/_terraform,7,7
builtin/providers/aws/resource_aws_opsworks_application.go,7,7
builtin/providers/google/resource_compute_instance_group_test.go,7,7
builtin/providers/aws/import_aws_security_group_test.go,7,7
terraform/graph_builder_apply.go,6,125
terraform/graph_builder_plan.go,6,104
terraform/graph_walk_context.go,6,87
terraform/eval_provider.go,6,81
backend/local/backend_plan.go,6,78
terraform/node_resource_plan_instance.go,6,77
terraform/graph_test.go,6,77
terraform/node_resource_plan.go,6,72
terraform/context_input_test.go,6,71
terraform/graph_builder_refresh.go,6,69
command/meta_backend_test.go,6,67
terraform/eval_context.go,6,66
config/module/tree.go,6,65
terraform/eval_refresh.go,6,63
terraform/eval_context_mock.go,6,63
plugin/grpc_provider.go,6,61
command/push_test.go,6,55
terraform/node_resource_validate.go,6,51
terraform/transform_deposed.go,6,49
backend/local/testing.go,6,49
terraform/transform_provider_test.go,6,48
command/meta_backend_migrate.go,6,48
command/taint.go,6,47
helper/schema/provider_test.go,6,47
backend/local/backend_apply_test.go,6,45
terraform/graph_builder_import.go,6,44
terraform/eval_validate_test.go,6,44
terraform/resource_provider_mock.go,6,44
terraform/resource_test.go,6,44
backend/remote/backend_mock.go,6,41
command/format/state.go,6,36
terraform/eval_state_test.go,6,35
terraform/transform_provisioner.go,6,33
command/show_test.go,6,33
backend/remote/backend_plan_test.go,6,33
backend/testing.go,6,32
config/module/storage.go,6,32
config/interpolate_walk_test.go,6,30
terraform/eval_variable.go,6,29
terraform/transform_targets.go,6,29
backend/local/backend_refresh_test.go,6,29
terraform/variables.go,6,27
command/state_push.go,6,26
command/unlock.go,6,26
builtin/providers/cloudstack/resource_cloudstack_network.go,6,25
terraform/transform_config.go,6,25
command/workspace_new.go,6,25
terraform/resource_provisioner.go,6,25
backend/remote-state/gcs/backend_test.go,6,24
backend/remote-state/s3/backend_state.go,6,23
command/state_pull.go,6,22
svchost/disco/disco.go,6,20
terraform/transform_output.go,6,20
command/hook_ui_test.go,6,20
builtin/providers/azure/provider.go,6,19
command/fmt.go,6,19
command/fmt_test.go,6,18
terraform/graph_dot.go,6,18
helper/schema/resource_diff_test.go,6,18
communicator/ssh/provisioner.go,6,18
builtin/providers/vcd/resource_vcd_vapp.go,6,17
builtin/providers/cloudstack/resource_cloudstack_template.go,6,17
command/plugins_test.go,6,17
plugin/serve.go,6,17
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,6,17
config/merge.go,6,16
