entity,coupled,degree,average-revs
builtin/providers/kubernetes/provider.go,builtin/providers/kubernetes/structures.go,64,13
builtin/providers/kubernetes/structures.go,builtin/providers/kubernetes/validators.go,58,9
builtin/providers/librato/resource_librato_alert.go,builtin/providers/librato/resource_librato_service.go,52,10
builtin/providers/openstack/config.go,builtin/providers/openstack/provider.go,41,41
builtin/providers/openstack/resource_openstack_blockstorage_volume_v1.go,builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,30,20
builtin/providers/openstack/resource_openstack_blockstorage_volume_v1.go,builtin/providers/openstack/resource_openstack_blockstorage_volume_v2.go,37,16
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_lb_member_v1.go,38,16
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,43,23
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,46,22
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_lb_vip_v1.go,51,18
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_lb_pool_v1.go,52,19
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,52,19
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,56,16
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,34,32
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,builtin/providers/openstack/resource_openstack_lb_vip_v1.go,38,26
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,40,28
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,40,25
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,builtin/providers/openstack/resource_openstack_lb_pool_v1.go,43,28
builtin/providers/openstack/resource_openstack_fw_firewall_v1.go,builtin/providers/openstack/resource_openstack_fw_rule_v1.go,64,14
builtin/providers/openstack/resource_openstack_fw_firewall_v1.go,builtin/providers/openstack/resource_openstack_fw_policy_v1.go,72,18
builtin/providers/openstack/resource_openstack_fw_policy_v1.go,builtin/providers/openstack/resource_openstack_fw_rule_v1.go,60,15
builtin/providers/openstack/resource_openstack_lb_listener_v2.go,builtin/providers/openstack/resource_openstack_lb_loadbalancer_v2.go,66,9
builtin/providers/openstack/resource_openstack_lb_listener_v2.go,builtin/providers/openstack/resource_openstack_lb_member_v2.go,80,8
builtin/providers/openstack/resource_openstack_lb_listener_v2.go,builtin/providers/openstack/resource_openstack_lb_pool_v2.go,80,8
builtin/providers/openstack/resource_openstack_lb_listener_v2.go,builtin/providers/openstack/resource_openstack_lb_monitor_v2.go,92,7
builtin/providers/openstack/resource_openstack_lb_loadbalancer_v2.go,builtin/providers/openstack/resource_openstack_lb_pool_v2.go,66,11
builtin/providers/openstack/resource_openstack_lb_loadbalancer_v2.go,builtin/providers/openstack/resource_openstack_lb_member_v2.go,66,11
