entity,n-authors,n-revs,soc,robot-type
command/taint.go,6.0,38.0,2385.0,1
terraform/eval_refresh.go,6.0,38.0,3159.0,2
plugin/grpc_provider.go,6.0,37.0,1207.0,0
terraform/graph_builder_refresh.go,6.0,36.0,3293.0,2
terraform/eval_context_mock.go,6.0,33.0,4200.0,2
backend/local/testing.go,6.0,31.0,1736.0,1
terraform/graph_builder_import.go,6.0,30.0,2011.0,1
terraform/transform_deposed.go,6.0,28.0,2235.0,1
terraform/node_resource_validate.go,6.0,28.0,2434.0,1
builtin/providers/cloudstack/resource_cloudstack_network.go,6.0,25.0,2511.0,1
terraform/eval_variable.go,6.0,24.0,2595.0,1
backend/testing.go,6.0,24.0,1614.0,1
terraform/transform_targets.go,6.0,22.0,1850.0,1
command/format/state.go,6.0,21.0,1070.0,0
command/state_push.go,6.0,21.0,1546.0,1
command/unlock.go,6.0,21.0,1448.0,1
svchost/disco/disco.go,6.0,20.0,99.0,0
command/workspace_new.go,6.0,20.0,1404.0,0
backend/remote-state/s3/backend_state.go,6.0,20.0,1057.0,0
terraform/transform_provisioner.go,6.0,20.0,1899.0,1
builtin/providers/azure/provider.go,6.0,19.0,2434.0,1
terraform/graph_dot.go,6.0,18.0,1045.0,0
communicator/ssh/provisioner.go,6.0,18.0,65.0,0
builtin/providers/vcd/resource_vcd_vapp.go,6.0,17.0,2452.0,1
command/state_pull.go,6.0,17.0,1525.0,1
terraform/variables.go,6.0,17.0,2158.0,1
builtin/providers/cloudstack/resource_cloudstack_template.go,6.0,17.0,2424.0,1
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,6.0,17.0,2587.0,1
terraform/transform_output.go,6.0,16.0,1810.0,1
command/fmt.go,6.0,16.0,223.0,0
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,6.0,15.0,2508.0,1
command/format_plan.go,6.0,15.0,152.0,0
terraform/resource_provisioner.go,6.0,15.0,2169.0,1
builtin/providers/aws/resource_aws_ami.go,6.0,15.0,2376.0,1
config/merge.go,6.0,15.0,607.0,0
builtin/providers/aws/resource_aws_directory_service_directory.go,6.0,14.0,2409.0,1
backend/remote-state/s3/client.go,6.0,14.0,33.0,0
builtin/providers/azurerm/resource_arm_loadbalancer_backend_address_pool.go,6.0,14.0,2574.0,1
builtin/providers/triton/resource_machine.go,6.0,13.0,2381.0,1
builtin/providers/vcd/resource_vcd_network.go,6.0,13.0,2452.0,1
builtin/provisioners/salt-masterless/resource_provisioner.go,6.0,13.0,20.0,0
builtin/providers/aws/tags_route53.go,6.0,12.0,2634.0,1
builtin/providers/aws/resource_aws_route53_zone_association.go,6.0,12.0,2701.0,1
plugin/serve.go,6.0,12.0,1052.0,0
builtin/providers/aws/resource_aws_lambda_permission.go,6.0,12.0,2411.0,1
builtin/providers/azurerm/resource_arm_virtual_machine_extension.go,6.0,11.0,2517.0,1
builtin/providers/google/resource_compute_global_address.go,6.0,11.0,2499.0,1
builtin/providers/azurerm/resource_arm_loadbalancer.go,6.0,11.0,2545.0,1
builtin/providers/vcd/resource_vcd_firewall_rules.go,6.0,11.0,2444.0,1
builtin/providers/google/image.go,6.0,11.0,2342.0,1
